trase_code,uml_id,group,company,mill_name,latitude,longitude,capacity_tonnes_ffb_hour,status,earliest_year_of_existence,earliest_year_of_existence_source,kabupaten_name,kabupaten_trase_id,province_name
M-00001,PO1000004269,SUMBER TANI HARAPAN (STH),ABDI BUDI MULIA,ABDI BUDI MULIA 1,2.05244675,100.25311,60,Operating,1999,"Mill known to exist in 1999 (source: Taib, Gunatif (2000), Kajian Pengembangan Industri Crude Palm Oil Skala Kecil (Studi Kasus Pengembangan Industri Crude Palm Oil di Sumatera Barat), http://repository.ipb.ac.id/handle/123456789/5044)",LABUHAN BATU SELATAN,ID-1222,SUMATERA UTARA
M-00002,PO1000008154,SUMBER TANI HARAPAN (STH),ABDI BUDI MULIA,ABDI BUDI MULIA 2,2.112375117,100.2730978,45,Operating,2016,"Earliest year mill found to exist based on photo-interpretation of high-resolution satellite imagery, manufacturing census data, traceability reports and other secondary sources (or combination of these sources)",LABUHAN BATU SELATAN,ID-1222,SUMATERA UTARA
M-00003,PO1000008417,UNKNOWN,PALM LAMPUNG PERSADA,PALM LAMPUNG PERSADA,-4.374613829,104.5994974,60,Operating,2009,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),WAY KANAN,ID-1807,LAMPUNG
M-00006,PO1000004351,ADIMULIA,ADIMULIA AGROLESTARI,ADIMULIA AGROLESTARI,-0.110303437,101.3869601,30,Operating,1999,"Mill known to exist in 1999 (source: Taib, Gunatif (2000), Kajian Pengembangan Industri Crude Palm Oil Skala Kecil (Studi Kasus Pengembangan Industri Crude Palm Oil di Sumatera Barat), http://repository.ipb.ac.id/handle/123456789/5044)",KUANTAN SINGINGI,ID-1401,RIAU
M-00007,PO1000007616,INCASI RAYA (GUNAS),SUMATERA JAYA AGRO LESTARI,TOBA,-0.410197115,110.182517,60,Operating,2013,Establishment year based on other government record of establishment (e.g. Permit database),SANGGAU,ID-6105,KALIMANTAN BARAT
M-00008,PO1000000284,SAMPOERNA AGRO,AEK TARUM,BELIDA,-3.838334315,104.9719797,60,Operating,1996,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",OGAN KOMERING ILIR,ID-1602,SUMATERA SELATAN
M-00009,PO1000004554,UNKNOWN,AGRI ANDALAS,DERMAYU,-3.99753277,102.4291527,30,Operating,1999,"Mill known to exist in 1999 (source: Taib, Gunatif (2000), Kajian Pengembangan Industri Crude Palm Oil Skala Kecil (Studi Kasus Pengembangan Industri Crude Palm Oil di Sumatera Barat), http://repository.ipb.ac.id/handle/123456789/5044)",SELUMA,ID-1705,BENGKULU
M-00010,PO1000004072,UNKNOWN,AGRICINAL,AGRICINAL,-3.200968788,101.6297859,45,Operating,1999,"Mill known to exist in 1999 (source: Taib, Gunatif (2000), Kajian Pengembangan Industri Crude Palm Oil Skala Kecil (Studi Kasus Pengembangan Industri Crude Palm Oil di Sumatera Barat), http://repository.ipb.ac.id/handle/123456789/5044)",BENGKULU UTARA,ID-1703,BENGKULU
M-00011,PO1000006188,GOODHOPE,AGRO INDOMAS,BUMI JAYA,-1.015181968,116.689629,45,Operating,2015,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),PENAJAM PASER UTARA,ID-6409,KALIMANTAN TIMUR
M-00012,PO1000010073,KALIMANTAN PLANTATION UNIT (KPU),ADITYA AGROINDO,SIMPANG HULU BARAT,-0.4393,110.23474,60,Operating,2015,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",KETAPANG,ID-6106,KALIMANTAN BARAT
